"E","U"
"Badshahi","بادشاہى"
"Bag","بيگ"
"Bagh","باغ"
"Baghri","بگھڑى"
"Baghwala","باغوالہ"
"Bags","بورا"
"Bahadar","بہادر"
"Bahadur","بہادر"
"Bahar","بھار"
"Bahaudar","بہادر"
"Bahawal","بہاول"
"Bahi","باہى"
"Bahoo","باہو"
"Bahwelpur","بہاولپور"
"Baig","بيگ"
"Baila","بيلہ"
"Bakar","بکر"
"Bakhat","بخت"
"Bakhsh","بخش"
"Bakhsha","بخشہ"
"Bakhtawar","بختاور"
"Bakhtiar","بختيار"
"Bakhut","بخت"
"Baksh","بخش"
"Bala","بالا"
"Balail","بليل"
"Balances","بقاياجات"
"Balaq","بلاق"
"Balarka","بلڑکا"
"Bales","گانٹھيں"
"Balianwala","باليانوالہ"
"Ball","بال"
"Ballo","بلو"
"Baloch","بلوچ"
"Balooch","بلوچ"
"Banat","بنات"
"Bangla","بنگلہ"
"Bangs","بنگس"
"Bani","بنى"
"Bank","بنک"
"Banks","بنکس"
"Baoo","باو"
"Baqar","باقر"
"Baqer","باقر"
"Baqir","باقر"
"Bara","بارہ"
"Barana","بڑانہ"
"Bardana","باردانہ"
"Bargah","بارگاہ"
"Bargarh","بارگاہ"
"Bargha","بارگاہ"
"Bari","بارى"
"Barka","بارکا"
"Barkah","برکاہ"
"Barkat","برکت"
"Barket","برکت"
"Barkhurdar","برخوردار"
"Barra","بڑا"
"Barrowings","باروانگ"
"Basharat","بشارت"
"Basharet","بشارت"
"Basheer","بشير"
"Bashir","بشير"
"Basic","بنیادی"
"Basti","بستى"
"Batool","بتول"
"Baudhar","بہادر"
"Baz","باز"
"Bazar","بازار"
"BE","بى"
"Bearer","بيرر"
"Bearings","بيرنگ"
"Beauty","بيوٹي"
"Bedian","بيدياں"
"been","بين"
"Beerbal","بيربل"
"Begum","بيگم"
"Behind","عقب"
"Belail","بيليل"
"Bell","بل"
"Belts","بيلٹ"
"Benda","بندہ"
"Benefits","بنيفٹس"
"Beon","بيون"
"Beron","بيرون"
"Bhabhrana","بھبھرانہ"
"Bhabrana","بھبھڑانہ"
"Bhadhar","بہادر"
"Bhai","بھائى"
"Bhakkar","بھکر"
"Bhand","بھنڈ"
"Bharwana","بھروانہ"
"Bhassar","بھسر"
"Bhati","بھٹى"
"Bhatti","بھٹى"
"Bhattian","بھٹياں"
"Bhaudar","بہادر"
"Bhawal","بہاول"
"Bhir","بھڑ"
"Bhirr","بھڑ"
"Bhoana","بھوانہ"
"Bhojia","بھوجيہ"
"Bhola","بھولا"
"Bhorani","بھوڑانى"
"Bhowana","بھوانہ"
"Bhubhrana","بھبھڑانہ"
"Bhudhowana","بدھوآنہ"
"Bhukhari","بخارى"
"Bhund","بھنڈ"
"Bhurani","بھوڑانى"
"Bhutta","بھٹہ"
"Bhutto","بھٹو"
"Bibi","بىبى"
"Bicycle","بائسيکل"
"Big","بڑا"
"Bigler","بگلر"
"Bilal","بلال"
"Bill","بل"
"Bills","بلز"
"Bindhi","بندھى"
"Binyamin","بنيامين"
"Birth","پيدائش"
"Bismillah","بسم اللہ"
"Blance","بيلنس"
"Blaq","بلاک"
"Blaver","بليور"
"Block","بلاک"
"Block,","بلاک"
"Blotch","بلوچ"
"Blow","بلو"
"Blue","بليو"
"board","بورڈ"
"Bohar","بوھڑ"
"Bohat","بھت"
"Bomb","بمب"
"Bombay","بمبے"
"Bonda","بونڈا"
"Book","بک"
"BookExp","بک خرچہ"
"Books","بکس"
"Boonga","بونگا"
"Boook","بک"
"Boota","بوٹا"
"Bora","بورا"
"Border","بارڈر"
"bori","بوری"
"Bosina","بوسنيا"
"Boys","بوائے"
"Bran","چوکر"
"Branch","برانچ"
"Bread","بريڈ"
"Bridge","پل"
"British","برٹش"
"Brocco","براکو"
"Broker","بروکر"
"Brokery","بروکرى"
"Brothars","برادرز"
"Brothers","برادرز"
"Budhoana","بدھوآنہ"
"Building","بلڈنگ"
"Building/PRO","بلڈنگ/ پى آر او"
"Bukhsh","بخش"
"Buksh","بخش"
"Bulaq","بلاق"
"Bullo","بلو"
"Bullock","بلاک"
"Bund","بند"
"Bundu","بندو"
"Burhan","برہان"
"Burjian","برجياں"
"Burkhurdar","برخوردار"
"Bus","بس"
"business","بزنس"
"But","بٹ"
"Butt","بٹ"
"Butta","بھٹہ"
"by","بائى"
"C","سى"
"C/F","کيش فنانس"
"c/o","معرفت"
"Caalar","کالر"
"Cabin","کيبن"
"Cables","کيبلز"
"cake","کيک"
"Calssic","کلاسک"
"Canteen","کنٹين"
"Cantt","کينٹ"
"Cantt.","کينٹ"
"Capital","کيپيٹل"
"Car","کار"
"Card","کارڈ"
"Carding","کارڈنگ"
"care","کيئر"
"Carporation","کارپوريشن"
"CASE","مقدمہ"
"Cases","مقدمات"
"Cash","کيش"
"Casiocenter","کيسيو سنٹر"
"Caste","قوم"
"Casting","کاسٹنگ"
"Castle","کاسٹل"
"Casual","اتفاقيہ"
"Cattle","کيٹل"
"CDI","سى ڈى آئى"
"Cell","سيل"
"Cement","سيمنٹ"
"Center","سنٹر"
"Centex","سنٹيکس"
"Centre","سنٹر"
"Certificate","سرٹيفکيٹ"
"Cess","سیس"
"CF","کيش فنانس"
"CH","چوہدرى"
"Ch.255","چک 255"
"Ch.Mazar","چوہدرى مظہر"
"Ch.no.161/jb","چک نمبر 161/ج ب"
"Ch.no.164/Jb","چک نمبر 164/ج ب"
"Ch.no.171","چک نمبر171"
"ch.no.182","چک 182"
"Ch.no.214","چک نمبر124"
"Ch.no.230/Jb","چک نمبر 230/ج ب"
"Ch.no.254/Jb","چک نمبر 254/ج ب"
"Ch.no:164/jb","چک نمبر 164/ج ب"
"Chabeel","چھبيل"
"Chack","چک"
"Chadhar","چدھڑ"
"Chah","چاہ"
"Chairman","چيئرمين"
"Chairty","صدقہ"
"Chaju","چھجو"
"Chak","چک"
"Chakwal","چکوال"
"Chalianwali","چھليانوالى"
"Challan","چالان"
"challaned","چالان"
"Chaman","چمن"
"Chambaili","چمبيلى"
"Chamman","چمن"
"Chamon","چمن"
"Chan","چن"
"Chanan","چانن"
"Chand","چاند"
"Chandoo","چندو"
"Changran","چنگراں"
"Changranwala","چنگڑانوالہ"
"Channa","چنہ"
"Channi","چنى"
"Channna","چھنا"
"Chanoon","چنوں"
"Chaque","چيک"
"Char","چار"
"Charag","چراغ"
"Charagh","چراغ"
"Charak","چراغ"
"Charge","چارج"
"Charges","چارجز"
"Charities","خيرات"
"Charity","خيرات"
"Chaudar","چدھڑ"
"Chaudary","چوہدرى"
"Chaudhry","چوہدرى"
"Chease","چيز"
"Check","چيک"
"Cheema","چيمہ"
"Chek","چيک"
"Chenab","چناب"
"Cheque","چيک"
"Cheques","چيکس"
"Chequs","چيک"
"Chichawatni","چچہ وطنى"
"Chiniot","چنيوٹ"
"Chinot","چنيوٹ"
"Chiragh","چراغ"
"Chishtian","چشتياں"
"Chisteyan","چستياں"
"Chistian","چشتياں"
"Chniot","چنيوٹ"
"Chnoit","چنٹو ٹ"
"Chock","چوک"
"Choghata","چوگھتہ"
"Chohan","چوہان"
"Chok","چوک"
"Chota","چھوٹا"
"Chowk","چوک"
"Chowki","چوکى"
"Chund","چنڈ"
"Chundrigar","چندريگر"
"Chung","چوہنگ"
"Chunian","چنياں"
"Church","چرچ"
"Chutiana","چٹيانہ"
"CIA","سى آئى اے"
"Cinema","سينما"
"Circle","سرکل"
"Circolar","سرکلر"
"Circular","سرکلر"
"Citi","سٹى"
"City","سٹى"
"City.","سٹى"
"Civic","سوک"
"Civil","سول"
"Class","کلاس"
"Cleaner","کلينر"
"Clearing","کلئیر"
"Clerk","کلرک"
"Clerks","کلرکس"
"Cliftaon","کلفٹن"
"Clifton","کلفٹن"
"Close","بند"
"Closed","کلوزڈ"
"Closing","کلوزنگ"
"Clossed","بند"
"Clossing","کلوزنگ"
"Cloth","کلاتھ"
"Clothing","کلودھنگ"
"Club","کلب"
"Co","کمپنى"
"Co_tex","کمپنى ٹيکس"
"colessed","کلوزڈ"
"Colledge","کالج"
"College","کالج"
"Colony","کالونى"
"Coloosed","بند"
"com","کام"
"Comber","کومبر"
"Combers","کونمبرز"
"Commando","کمانڈو"
"Commen","کامن"
"Commercial","کمرشل"
"Commession","کميشن"
"Commission","کميشن"
"Commissioner","کمشنر"
"Common","کامن"
"Communication","مواصلات"
"Company","کمپنى"
"Complaint","شکايت"
"Compresher","کمپرپشر"
"Compulsorily","جبرى"
"Computer","کمپيوٹر"
"Computers","کمپيوٹرز"
"Concerns","کنسرن"
"Concrete","کنکريٹ"
"Condation","کنڈيشن"
"Conditioned","کنڈيشنڈ"
"Cone","کون"
"Constable","کنسٹيبل"
"Construction","کنسٹرکشن"
"consumed","صرف"
"Contracter","کنٹريکٹر"
"Contractor","کنٹريکٹر"
"Contribution","کنٹریبیوشن"
"Control","کنٹرول"
"Conveyance","کنوينس"
"Copulsorily","جبرى"
"Corporation","کارپوريشن"
"Corpration","کارپوريشن"
"Corruption","کرپشن"
"Cost","کاسٹ"
"Cotex","کوٹیکس"
"Cotton","کاٹن"
"Council","کونسل"
"course","کورس"
"Court","کورٹ"
"Courts","کورٹس"
"Cover","کو ر"
"CPLC","سى پى ايل سى"
"cpu","سنٹرل پراسيسنگ يو نٹ"
"Craft","کرافٹ"
"Credit","کريڈٹ"
"Creditors","کريڈيٹرز"
"Cresent","کريسنٹ"
"Crime","کرائم"
"CRO","سى آر او"
"Crown","کراؤن"
"Current","کرنٹ"
"Cut","کٹ"
"Cvivl","سول"
"Cycle","سائيکل"
"D","ڈى"
"D/O","بنت"
"da","دا"
"Daata","داتا"
"Dab","ڈب"
"Dabanwali","ڈبانوالى"
"Dabkala","ڈب کلاں"
"Dabkalan","ڈب کلاں"
"Dabkaran","ڈبکراں"
"Dabkran","ڈبکراں"
"Dacoity","ڈکيٹی"
"Dad","داد"
"Dadu","دادو"
"Dahar","داھر"
"Daharan","داھرانوالہ"
"Dahran","ڈھرانوالہ"
"Dahranwala","داھرانوالہ"
"Daim","دائم"
"Daimond","ڈائمنڈ"
"Dak","ڈاک"
"Dakhali","داخلى"
"Dakhli","داخلى"
"Dala","ڈالا"
"Dallanwala","ڈال والا"
"Dalmir","دلمير"
"Dar","دار"
"Dara","دارا"
"Daranha","دارنھا"
"Daranwala","دارنوالہ"
"Darar","دربار"
"Darbar","دربار"
"Dargahi","درگاھى"
"Darghi","درگاھى"
"Darul","دارال"
"Dar-ul","دارال"
"Darya","دريا"
"Das","داس"
"Dastagir","دستگير"
"Dastgeer","دستگير"
"Dastgir","دستگير"
"Dasti","دستی"
"dastras","دسترس"
"Date","مورخہ"
"dated","مورخہ"
"Dauband","ديوبند"
"Daubandis","ديوبندى"
"Daubands","ديوبندى"
"Daulat","دولت"
"Davis","ڈيوس"
"Davood","داوؤد"
"Dawakhana","دواخانہ"
"Dawn","ڈان"
"Dawood","داؤد"
"Dawoodi","داؤدى"
"Day","ڈے"
"DC","ڈى سى"
"DCO","ڈى سىاو"
"DD","ڈي ڈي"
"De","ڈى"
"Deaiel","ڈيزل"
"Dealar","ڈيلر"
"Dealer","ڈيلر"
"Dealers","ڈيلرز"
"Debits","ڈيبٹس"
"Debtors","ڈیبٹرز"
"Decent","ڈیسنٹ"
"Decorater","ڈيکوريٹر"
"Deduction","کٹوتى"
"Deendar","ديندار"
"Deferred","ڈيفرڈ"
"Deisel","ڈيزل"
"Deoband","ديوبند"
"Deoka","دوکا"
"Dep","ڈيپريسيايشن"
"Dep.","ڈيپريسى ايشن"
"Department","ڈيپارٹمنٹ"
"Departments","ڈيپارٹمنٹس"
"Deposit","ڈيپازٹ"
"Deposits","ڈيپازٹس"
"Depot","ڈپو"
"Depreciation","ڈيپريسىايشن"
"Dept","ڈيپارٹمنٹ"
"Dera","ڈيرہ"
"Deray","ڈيرے"
"Derbar","دربار"
"Derkharan","دھرکھانہ"
"Desiel","ڈيزل"
"Despatch","ڈسپيچ"
"Devaia","ڈيوايا"
"Devis","ڈيوس"
"Dewan","ديوان"
"DFC","ڈى ايف سى"
"Dhabi","ڈھبى"
"Dhara","ڈھارا"
"Dharam","دھرم"
"Dharamay","دھرامے"
"Karkhana"," کارخانہ"
"Karmal","کرمل"
"Karor","کروڑ"
"Karri","کرى"
"Karyala","کريالہ"
"Kashmir","کشمير"
"Kashwar","کشور"
"Kasoor","قصور"
"kasor","قصور"
"Kasowal","کسووال"
"kassuaana","کسوآنہ"
"Kasur","قصور"
"Katchery","کچہرى"
"Katchkota","کچکوٹا"
"Katra","کٹڑا"
"Kaucha","کچا"
"Kausar","کوثر"
"Kazim","کاظم"
"Kazmi","کاظمى"
"Kee","کى"
"keeper","کيپر"
"Kehkashan","کہکشاں"
"Kerbala","کربلا"
"Kerri","کرى"
"KESSEL","کثيل"
"Khabar","خبر"
"Khadam","خادم"
"Khadim","خادم"
"Khadum","خادم"
"Khaima","خيمہ"
"Khair","خير"
"Khaira","خيرا"
"Khairpura","خيرپورہ"
"Khaja","خواجہ"
"Khajgan","خواجگان"
"Khakhi","خاکى"
"Khaki","خاکى"
"Khalid","خالد"
"Khalil","خليل"
"Khaliq","خالق"
"Khan","خان"
"Khan.","خان"
"Khana","خانہ"
"Khand","خان"
"Khanda","کھنڈا"
"Khanewal","خانيوال"
"Khanpur","خان پور"
"Khanuwana","خانوآنہ"
"Khanywal","خانيوال"
"Khara","کھرا"
"Kharadar","خارادر"
"Kharan","کھرن"
"Kharanwala","کھرانوالہ"
"Kharasan","خراساں"
"Kharkhana","کارخانہ"
"Kharuryanwala","کھرڑيانوالہ"
"Khatam","ختم"
"Khatam-e-Nabawat","ختم نبوت"
"Khateeb","خطيب"
"Khatme","ختم"
"khatom","ختم"
"Khatoon","خاتون"
"Khauda","خدا"
"Khawaja","خواجہ"
"Khawar","خاور"
"Khawja","خواجہ"
"Kheewa","کھيوا"
"Khema","خيمہ"
"Khemah","خيمہ"
"Khewa","کھيوہ"
"Khichi","کھچى"
"Khitchian","کھچيان"
"Khizar","خضر"
"Khizra","خضرا"
"Khohi","کھوئى"
"Khoi","کھوئى"
"Khoja","خوجہ"
"khok","کھوکھر"
"Khokhar","کھوکھر"
"Khokhara","کھوکھرا"
"Khokharan","کھوکھراں"
"Khokhra","کھوکھرا"
"Khud","خد"
"Khuda","خدا"
"Khuram","خرم"
"Khurawala","کڑھيانوالہ"
"Khurd","خورد"
"Khurianwala","کڑھيانوالہ"
"Khurram","خرم"
"Khurrianwala","کڑھيانوالہ"
"Khursheed","خورشيد"
"Khurshid","خورشيد"
"Khururianwala","کڑھيانوالہ"
"Khush","خوش"
"Khushabi","خوشابى"
"Khushal","خوشحال"
"Khushhal","خوشحال"
"Khushhall","خوشحال"
"Khushi","خوشى"
"Kinari","کنارى"
"Kinary","کنارى"
"Kinds","اقسام"
"Kiran","کرن"
"Kirri","کرى"
"Kisovo","کسوو"
"Klasan","کلاسن"
"Klasana","کلاسنہ"
"Klashnekove","کلاشنکوف"
"Klasin","کلاسن"
"Klassan","کلاسن"
"KM","کلوميٹر"
"Kmangran","کمنگران"
"Knitting","نٹنگ"
"Kohat","کوہاٹ"
"Kohi","کھوہى"
"Kohinoor","کوہ نور"
"Kokab","کوکب"
"Kokhrain","کھوکھراں"
"Kolowal","کالووال"
"Komaka","کموکا"
"Kondal","کندل"
"Kora","کوڑا"
"Korala","کورالہ"
"Korangi","کورنگى"
"Korhay","کوڑے"
"Koryana","کوڑيانہ"
"Kot","کوٹ"
"Kot)","کوٹ"
"Kothi","کوٹھى"
"Kotla","کوٹلہ"
"Kotli","کوٹلى"
"Kotlukhpat","کوٹ لکھپت"
"Kotwali","کوتوالى"
"Kucha","کچا"
"Kuki","ککى"
"Kulachi","کلاچي"
"Kumhar","کمہار"
"Kumharanwala","کمہارانوالہ"
"Kuplana","کپلانہ"
"L","ايل"
"Laboratory","ليبارٹرى"
"Labour","ليبر"
"labourer","مزدور"
"lac","لاکھ"
"Ladhan","لدھن"
"Lahore","لاہور"
"Lahori","لاہورى"
"Laila","ليلى"
"Laiqat","لياقت"
"Lak","لک"
"Lakha","لکھا"
"Lakhi","لکھى"
"Lakhnana","لکھنانہ"
"Lakreen","لکرين"
"Lal","لال"
"Lalian","لالياں"
"Land","زمين"
"Landda","لنڈا"
"Landhi","لانڈھى"
"Langah","لنگاہ"
"Langar","لنگر"
"Langrana","لنگرانہ"
"Lari","لارى"
"Lariada","لارى اڈا"
"Larian","لارياں"
"Larnas","لارنس"
"Lasani","لاثانى"
"Lashakr","لشکر"
"Lashari","لاشارى"
"Late","مرحوم"
"Lateef","لطيف"
"Latif","لطيف"
"Lau","لئو"
"Lawrence","لارنس"
"layia","لايا"
"Layya","لیہ"
"LC","ايل سى"
"Leaf","ليف"
"Lease","ليز"
"Leased","ليزڈ"
"Leasing","ليزنگ"
"least","ليسٹ"
"Leave","رخصت"
"Legal","ليگل"
"Lehna","لاہنا"
"lia","لیہ"
"Liabilities","لائبليٹيز"
"Liaison","رابطہ"
"Liaqat","لياقت"
"Liaquat","لياقت"
"Liason","رابطہ"
"Licencing","لائسنسنگ"
"License","لائسنس"
"Lifting","لفٹنگ"
"Light","لائٹ"
"Lilla","للہ"
"Limit","ليمٹ"
"Limited","لميٹڈ"
"Line","لائن"
"Lines","لائنز"
"Linkers","لنکرز"
"Lint","لنٹ"
"List","لسٹ"
"LLAH","فلاح"
"Loading","لوڈنگ"
"Loans","لونز"
"Lodhi","لودھى"
"Loha","لوھا"
"Lohar","لوھار"
"Loharan","لوھاراں"
"Lolay","لولے"
"Lone","قرض"
"Long","لانگ"
"Loom","لوم"
"Looms","لومز"
"Loona","لونا"
"Loonay","لونے"
"Loss","نقصان"
"Lower","لور"
"LP","ايل پي"
"Ltd","لميٹڈ"
"Ltd.","لميٹڈ"
"Lubbaik","لبيک"
"Lube","ليوب"
"Lubricant","لبريکنٹ"
"Lubricants","لبر ی کینٹس"
"Lucky","لکى"
"Ludha","لڈا"
"Lund","لنڈ"
"Luqman","لقمان"
"LZ","ايل زيڈ"
"M","ايم"
"M.","محمد"
"M/s","ميسرز"
"M/s.","ميسرز"
"Maali","مالى"
"Macheera","مچھيرا"
"Machhi","ماچھى"
"Machi","ماچھى"
"Machine","مشين"
"Machinery","مشينرى"
"Machiwal","ماچھيوال"
"Madan","مدن"
"Maddad","مدد"
"Maddu","مدو"
"Madina","مدينہ"
"madni","مدنی"
"Madoki","مدوکى"
"Madrassah","مدرسہ"
"Madrissa","مدرسہ"
"Maghi","ماجھى"
"Maghrana","مگھرانہ"
"Magistrate","مجسٹريٹ"
"Mahabat","محبت"
"Mahal","محل"
"Mahala","محلہ"
"Mahamund","مہامند"
"Mahar","مہر"
"Maharaja","مہاراجہ"
"Maharjah","مہاراجہ"
"Mahboob","محبوب"
"Mahi","ماہى"
"Mahlra","ماہلڑا"
"Mahmood","محمود"
"Mahmooda","محمودا"
"Mahni","ماہنی"
"Mahr","مہر"
"Mahraja","مہاراجہ"
"Mahtab","مہتاب"
"Mai","مائى"
"Maidan","ميدان"
"Mail","ميل"
"Main","مين"
"Maintenance","مرمت"
"Mair","مير"
"Majeed","مجيد"
"Majhee","ماجھى"
"Majhi","ماجھى"
"Majid","ماجد"
"Majlis","مجلس"
"Majnon","مجنوں"
"Majsid","مسجد"
"Makaeel","ميکا ئيل"
"makkah","مکہ"
"Mal","مل"
"Malah","ملاح"
"Malak","ملک"
"Malang","ملنگ"
"Mali","مالى"
"Malik","ملک"
"Malikwal","ملک وال"
"Maling","ملنگ"
"Malkhana","مال خانہ"
"Mall","مال"
"Mallah","ملاح"
"Mamand","ممند"
"Mamna","ممنا"
"Mamtaz","ممتاز"
"Mamtaz-ul-Hassan","ممتازالحسن"
"Man","مين"
"Management","منيجمنٹ"
"Manager","منيجر"
"Manak","مانک"
"Manawar","منور"
"Manazir","مناظر"
"Mandi","منڈى"
"Mane","ماني"
"Manga","مانگا"
"Mangani","منگانى"
"Mangini","منگينى"
"Mangoana","منگوآنہ"
"Manguana","منگوآنہ"
"Mani","مانى"
"Manno","مانو"
"Mansab","منصب"
"Mansha","منشا"
"Manshah","منشا"
"Mansoor","منصور"
"Mansuri","منصورى"
"Mantinance","مرمت"
"Manufacturing","مينوفيکچرنگ"
"Manzal","منزل"
"Manzar","منظر"
"Manzil","منزل"
"Manzoor","مظور"
"Mapal","مپال"
"Maple","ميپل"
"Maqbool","مقبول"
"Maqsood","مقصود"
"Mardan","مردان"
"Marfat","معرفت"
"Mari","ماڑى"
"Mariam","مريم"
"Mark","مارک"
"Markat","مارکيٹ"
"Markaz","مرکز"
"Markazi","مرکزى"
"Markeet","مارکيٹ"
"Market","مارکيٹ"
"Markett","مارکيٹ"
"Markup","مارکاپ"
"Marot","ميرٹ"
"Marri","ماڑى"
"Martyred","شہيد"
"Marzi","مرضى"
"Masaood","مسعود"
"Masjad","مسجد"
"Masjid","مسجد"
"Masood","مسعود"
"Masoom","معصوم"
"Masoomeen","معصومين"
"Massan","مسن"
"Mastan","مستان"
"Master","ماسٹر"
"Material","ميٹريل"
"Materials","ميٹريلز"
"Matex","ميٹکس"
"Matey","متے"
"Mather","مدر"
"Mation","ميشن"
"Matloob","مطلوب"
"Maula","مولا"
"Maulana","مولانا"
"Maulvi","مولوى"
"Mausa","موسٰى"
"Mauza","موضع"
"May","مئى"
"Mazahar","مظہر"
"Mazar","مظہر"
"Mazhar","مظہر"
"Mazher","مظہر"
"MCB","مسلم کمرشل بينک"
"MDC","ايم ڈى سى"
"Meadna","مدينہ"
"Measure","پيمانہ"
"Mechanical","مکينيکل"
"Medh","مہدی"
"Medical","ميڈيکل"
"Medicine","ادويات"
"Meeazn","میزان"
"Meer","مہر"
"Meeran","ميرن"
"Meezan","میزان"
"Mefil","محفل"
"Meghiana","مگھيانہ"
"Mehboob","محبوب"
"Mehde","مہدی"
"Mehdi","مہدی"
"Meher","مہر"
"Mehfil","محفل"
"Mehfl","محفل"
"Mehfle","محفل"
"Mehhdi","مہدی"
"Mehmood","محمود"
"Mehr","مہر"
"Mehran","مہران"
"Mehtab","مہتاب"
"Mellon","خربوزہ"
"Memon","ميمن"
"Merali","مرالى"
"Meran","ميرن"
"Merchant","مرچنٹ"
"Merchants","مرچنٹس"
"Merchants,","مرچنٹس"
"Merik","ميرک"
"Mess","ميس"
"Metro","میٹر"
"Mezan","میزان"
"Mian","مياں"
"Mianchanoon","مياں چنوں"
"Miani","ميانى"
"Mianwali","ميانوالى"
"Micro","مائيکرو"
"Middle","مڈل"
"Midrissa","مدرسہ"
"Migrated","منتقل"
"milk","دودھ"
"Mill","مل"
"Millat","ملت"
"MillCash","مل کيش"
"Mills","ملز"
"Minhaj","منہاج"
"Mini","مني"
"Mintgumry","منٹگمری"
"Mirasi","ميراثى"
"Miror","شيشہ"
"Mirza","مرزا"
"Misc","متفرق"
"Miscellaneous","متفرق"
"Miscelleneous","متفرق"
"Miscellinious","متفرق"
"Misclenious","متفرق"
"Misiri","مصرى"
"Mission","مشن"
"Mistri","مسترى"
"Mithoo","مٹھو"
"Mix","مکس"
"Mixing","مکسنگ"
"Moawaia","معاويہ"
"Moawia","معاويہ"
"Mobile","موبائل"
"Mobilink","موبي لنک"
"Mochi","موچى"
"Mochiwala","موچيوالہ"
"Model","ماڈل"
"Moh","محلہ"
"Moh.","محلہ"
"Moh:","محلہ"
"Mohafiz","محافظ"
"Mohajreen","مہاجرين"
"Mohala","محلہ"
"Mohallah","محلہ"
"Mohammad","محمد"
"Mohammadabad","محمدآباد"
"Moharrar","محرر"
"Moharrir","محرر"
"Mohay","محى"
"Mohd","محمد"
"Mohib","محب"
"Mohlanwal","مولہنوال"
"Mohllah","محلہ"
"Mohsan","محسن"
"Mohsin","محسن"
"Mohtahsan","مستحسن"
"Molaha","محلہ"
"Molvi","مولوى"
"Monawar","منور"
"Money","منى"
"Mongi","مونگى"
"Monitor","مانيٹر"
"Monitoring","مونيٹرنگ"
"Montgomary","منٹگمرى"
"Montgomery","منٹگمرى"
"Montgomry","منٹگمرى"
"Monthly","ماہانہ"
"months","مہینہ"
"Montogomery","منٹگمرى"
"Moon","مون"
"Moonda","موندا"
"Mor","موڑ"
"More","موڑ"
"Morr","موڑ"
"Mosque","مسجد"
"Mother","امی"
"Moti","موتى"
"Motor","موٹر"
"Motorcycle","موٹر سائيکل"
"Moughla","مگلا"
"Mouza","موضع"
"Moza","موضع"
"MPO","ايم پى او"
"Mr","مسٹر"
"MSB","مسلم کمرشل بينک"
"Mst","مسمات"
"Mst.","مسمات"
"Mst:Mahmooda","مسماة محمودہ"
"MTO","ايم ٹى او"
"Muahammad","محمد"
"Mubarak","مبارک"
"Mubarik","مبارک"
"Mubashar","مبشر"
"Mubasher","مبشر"
"Mubashir","مبشر"
"Mubeen","مبين"
"Mudaris","مدارس"
"Mudassar","مدثر"
"Mudei","مدعى"
"Mudrissa","مدرسہ"
"Mueed","موئيد"
"Mufti","مفتى"
"Mughal","مغل"
"Mughni","مغنى"
"Muhabbat","محبت"
"Muhafiz","محافظ"
"Muhajirin","مہاجرين"
"Muhajreen","مہاجرين"
"Muhajrin","مہاجرين"
"Muhamad","محمد"
"Muhamamd","محمد"
"Muhammad","محمد"
"Muhammadi","مہد ی"
"Muhammed","محمد"
"Muhi","محى"
"Muhib","محمد"
"Muhmmad","محمد"
"Mujahid","مجاہد"
"Mujahideen","مجاہديں"
"Mujtaba","مجتبٰى"
"Mukhtar","مختار"
"Mukram","مکرم"
"Mulazam","ملازم"
"Mulazim","ملازم"
"Multan","ملتان"
"Multex","مولٹيکس"
"Mumtaz","ممتاز"
"Mumtaz-ul-Hassan","ممتازالحسن"
"mun","من"
"Munassar","منصر"
"Munawar","منور"
"Munawer","منور"
"Munda","موندا"
"Munday","منڈے"
"Mundi","منڈى"
"Muneer","منير"
"Munir","منير"
"Munji","منجی"
"Munshina","منشيانہ"
"Muntaz","ممتاز"
"Muntazim","منتظم"
"Muntazir","منتظر"
"Munwar","منور"
"Murad","مراد"
"Muradwala","مرادوالا"
"Mureed","مريد"
"Murid","مريد"
"Murtajiz","مرتجز"
"Murtaza","مرتضى"
"Musa","موسٰى"
"Mushtaq","مشتاق"
"Muslim","مسلم"
"Mussarrat","مسرت"
"Mustafa","مصطفٰى"
"Mustan","مستان"
"Mutwalli","متولى"
"Muza","موضع"
"Muzafar","مظفر"
"Muzaffar","مظفر"
"Muzamal","مزمل"
"Muzamel","مزمل"
"Muzammal","مزمل"
"Muzammil","مزمل"
"Muzar","مظہر"
"Muzzafar","مظفر"
"Muzzamal","مزمل"
"MVO","ايم وى او"
"N","اين"
"N0.130","نمبر130"
"Naag","ناگ"
"Nabawat","نبوت"
"Nabi","نبى"
"Nadeem","نديم"
"Nadir","نادر"
"Naeem","نعيم"
"Nafees","نفيس"
"Nag","ناگ"
"Nagar","نگر"
"Naghah","نگاہ"
"Naghma","نغمہ"
"Nahang","نہنگ"
"Naib","نائب"
"Naimat","نيامت"
"Naizmabad","ناظم آباد"
"Najab","نجب"
"Najaf","نجف"
"Najma","نجمہ"
"Nala","نالہ"
"Nambardar","نمبردار"
"Namdar","نامدار"
"Name","نام"
"naneenasir","نینی ناصر"
"Nanha","ننھا"
"Napier","نيپئر"
"Naqa","نکا"
"Naqdi","نقدى"
"Naqvi","نقوى"
"Naraish","نریش"
"narcotics","نارکوٹکس"
"Nargis","نرگس"
"naro","نارو"
"Nasara","ناصرہ"
"Naseeb","نصيب"
"Naseem","نسيم"
"Naseer","نصير"
"Nashaib","نشيب"
"Nashterabad","نشاط آباد"
"Nasim","نسيم"
"Nasir","ناصر"
"Nasira","ناصرہ"
"Nasrulla","نصراللہ"
"Nasrullah","نصراللہ"
"Nat","نت"
"Natioanl","نيشنل"
"National","نيشنل"
